,rank,country,participant,result,discipline,event,olympic_host,olympic_game_year,gender
254,2,CAN,angela chalmers-espinoza,00:08:47.220,Athletics,3000m,Barcelona,1992,women
265,0,USA,kevin curtis young,46.780,Athletics,400m hurdles,Barcelona,1992,men
266,1,JAM,winthrop graham,47.660,Athletics,400m hurdles,Barcelona,1992,men
267,2,GBR,kriss kezie uche akabusi,47.820,Athletics,400m hurdles,Barcelona,1992,men
279,0,GBR,sally janet jane gunnell,53.230,Athletics,400m hurdles,Barcelona,1992,women
280,1,USA,sandra farmer-patrick,53.690,Athletics,400m hurdles,Barcelona,1992,women
281,2,USA,janeene vickers,54.310,Athletics,400m hurdles,Barcelona,1992,women
289,0,USA,quincy watts,43.500,Athletics,400m,Barcelona,1992,men
290,1,USA,steve lewis,44.210,Athletics,400m,Barcelona,1992,men
291,2,KEN,samson kitur,44.240,Athletics,400m,Barcelona,1992,men
303,0,FRA,marie-jose perec,48.830,Athletics,400m,Barcelona,1992,women
304,1,EUN,olga bryzgina,49.050,Athletics,400m,Barcelona,1992,women
305,2,COL,ximena restrepo gaviria,49.640,Athletics,400m,Barcelona,1992,women
311,0,,,37.400,Athletics,4x100m relay,Barcelona,1992,men
312,1,,,37.980,Athletics,4x100m relay,Barcelona,1992,men
313,2,,,38.000,Athletics,4x100m relay,Barcelona,1992,men
324,0,,,42.110,Athletics,4x100m relay,Barcelona,1992,women
325,1,,,42.160,Athletics,4x100m relay,Barcelona,1992,women
326,2,,,42.810,Athletics,4x100m relay,Barcelona,1992,women
333,0,,,00:02:55.740,Athletics,4x400m relay,Barcelona,1992,men
334,1,,,00:02:59.510,Athletics,4x400m relay,Barcelona,1992,men
335,2,,,00:02:59.730,Athletics,4x400m relay,Barcelona,1992,men
344,0,,,00:03:20.200,Athletics,4x400m relay,Barcelona,1992,women
345,1,,,00:03:20.920,Athletics,4x400m relay,Barcelona,1992,women
346,2,,,00:03:24.230,Athletics,4x400m relay,Barcelona,1992,women
353,0,GER,dieter baumann,00:13:12.520,Athletics,5000m,Barcelona,1992,men
354,1,KEN,paul bitok,00:13:12.710,Athletics,5000m,Barcelona,1992,men
355,2,ETH,fita bayissa,00:13:13.030,Athletics,5000m,Barcelona,1992,men
377,0,EUN,andrey perlov,03:50:13.000,Athletics,50km walk,Barcelona,1992,men
378,1,MEX,carlos mercenario carbajal,03:52:09.000,Athletics,50km walk,Barcelona,1992,men
379,2,GER,ronald weigel,03:53:45.000,Athletics,50km walk,Barcelona,1992,men
419,0,KEN,william tanui,00:01:43.660,Athletics,800m,Barcelona,1992,men
420,1,KEN,nixon kiprotich,00:01:43.700,Athletics,800m,Barcelona,1992,men
421,2,USA,johnny lee jr gray,00:01:43.970,Athletics,800m,Barcelona,1992,men
432,0,NED,ellen van langen,00:01:55.540,Athletics,800m,Barcelona,1992,women
433,1,EUN,lilia nurutdinova,00:01:55.990,Athletics,800m,Barcelona,1992,women
434,2,CUB,ana fidelia quirot,00:01:56.800,Athletics,800m,Barcelona,1992,women
442,0,TCH,robert zmelik,8611,Athletics,decathlon,Barcelona,1992,men
443,1,ESP,antonio penalver asensio,8412,Athletics,decathlon,Barcelona,1992,men
444,2,USA,dave johnson,8309,Athletics,decathlon,Barcelona,1992,men
478,0,LTU,romas ubartas,65.12,Athletics,discus throw,Barcelona,1992,men
479,1,GER,jürgen schult,64.94,Athletics,discus throw,Barcelona,1992,men
480,2,CUB,roberto s. moya,64.12,Athletics,discus throw,Barcelona,1992,men
491,0,CUB,maritza marten,70.06,Athletics,discus throw,Barcelona,1992,women
492,1,BUL,tzvetanka pavlova khristova,67.78,Athletics,discus throw,Barcelona,1992,women
493,2,AUS,daniela costian,66.24,Athletics,discus throw,Barcelona,1992,women
503,0,EUN,andrey abduvaliev,82.54,Athletics,hammer throw,Barcelona,1992,men
504,1,EUN,igor astapkovich,81.96,Athletics,hammer throw,Barcelona,1992,men
505,2,EUN,igor nikouline,81.38,Athletics,hammer throw,Barcelona,1992,men
515,0,USA,jackie joyner-kersee,7044,Athletics,heptathlon,Barcelona,1992,women
516,1,EUN,irina belova,6845,Athletics,heptathlon,Barcelona,1992,women
517,2,GER,sabine braun,6649,Athletics,heptathlon,Barcelona,1992,women
548,0,CUB,javier sotomayor,2.34,Athletics,high jump,Barcelona,1992,men
549,1,SWE,patrick sjöberg,2.34,Athletics,high jump,Barcelona,1992,men
550,2,AUS,timothy forsyth,2.34,Athletics,high jump,Barcelona,1992,men
563,0,GER,heike henkel,2.02,Athletics,high jump,Barcelona,1992,women
564,1,ROU,alina astafei,2,Athletics,high jump,Barcelona,1992,women
565,2,CUB,ioamnet quintero,1.97,Athletics,high jump,Barcelona,1992,women
580,0,TCH,jan železný,89.66,Athletics,javelin throw,Barcelona,1992,men
581,1,FIN,seppo henrik raty,86.6,Athletics,javelin throw,Barcelona,1992,men
582,2,GBR,steve backley,83.38,Athletics,javelin throw,Barcelona,1992,men
593,0,GER,silke renk,68.34,Athletics,javelin throw,Barcelona,1992,women
594,1,EUN,natalia shikolenko,68.26,Athletics,javelin throw,Barcelona,1992,women
595,2,GER,karen forkel,66.86,Athletics,javelin throw,Barcelona,1992,women
606,0,USA,carl lewis,8.67,Athletics,long jump,Barcelona,1992,men
607,1,USA,michael anthony powell,8.64,Athletics,long jump,Barcelona,1992,men
608,2,USA,joe greene,8.34,Athletics,long jump,Barcelona,1992,men
625,0,GER,heike drechsler,7.14,Athletics,long jump,Barcelona,1992,women
626,1,EUN,inessa kravets,7.12,Athletics,long jump,Barcelona,1992,women
627,2,USA,jackie joyner-kersee,7.07,Athletics,long jump,Barcelona,1992,women
643,0,KOR,young-cho hwang,02:13:23.000,Athletics,marathon,Barcelona,1992,men
644,1,JPN,koichi morishita,02:13:45.000,Athletics,marathon,Barcelona,1992,men
645,2,GER,stephan timo freigang,02:14:00.000,Athletics,marathon,Barcelona,1992,men
755,0,EUN,valentina yegorova,02:32:41.000,Athletics,marathon,Barcelona,1992,women
756,1,JPN,yuko arimori,02:32:49.000,Athletics,marathon,Barcelona,1992,women
757,2,NZL,lorraine mary moller,02:33:59.000,Athletics,marathon,Barcelona,1992,women
802,0,EUN,maksim tarasov,5.8,Athletics,pole vault,Barcelona,1992,men
803,1,EUN,igor trandenkov,5.8,Athletics,pole vault,Barcelona,1992,men
804,2,ESP,javier garcia chico,5.75,Athletics,pole vault,Barcelona,1992,men
820,0,USA,michael d. stulce,21.7,Athletics,shot put,Barcelona,1992,men
821,1,USA,james doehring,20.96,Athletics,shot put,Barcelona,1992,men
822,2,EUN,viatcheslav lykho,20.94,Athletics,shot put,Barcelona,1992,men
833,0,EUN,svetlana krivelyova,21.06,Athletics,shot put,Barcelona,1992,women
834,1,CHN,zhihong huang,20.47,Athletics,shot put,Barcelona,1992,women
835,2,GER,kathrin neimke,19.78,Athletics,shot put,Barcelona,1992,women
846,0,USA,mike conley,18.17w,Athletics,triple jump,Barcelona,1992,men
847,1,USA,charles simpkins,17.6,Athletics,triple jump,Barcelona,1992,men
848,2,BAH,frank rutherford,17.36,Athletics,triple jump,Barcelona,1992,men
448,0,AUS,kieren john perkins,00:14:43.480,Swimming,1500m freestyle,Barcelona,1992,men
449,1,AUS,glen clifford housman,00:14:55.290,Swimming,1500m freestyle,Barcelona,1992,men
450,2,GER,jörg hoffmann,00:15:02.290,Swimming,1500m freestyle,Barcelona,1992,men
1169,0,EUN,alexander popov,21.910,Swimming,50m freestyle,Barcelona,1992,men
1170,1,USA,matthew biondi,22.090,Swimming,50m freestyle,Barcelona,1992,men
1171,2,USA,thomas michael jager,22.300,Swimming,50m freestyle,Barcelona,1992,men
1245,0,CHN,wenyi yang,24.790,Swimming,50m freestyle,Barcelona,1992,women
1246,1,CHN,yong zhuang,25.080,Swimming,50m freestyle,Barcelona,1992,women
1247,2,USA,angel martino,25.230,Swimming,50m freestyle,Barcelona,1992,women
0,0,GER,ronny weller,432.5,Weightlifting,100  110kg heavyweight,Barcelona,1992,men
1,1,EUN,artur akoyev,430,Weightlifting,100  110kg heavyweight,Barcelona,1992,men
2,2,BUL,stefan botev hristov,417.5,Weightlifting,100  110kg heavyweight,Barcelona,1992,men
24,0,EUN,alexandre kurlovich,450,Weightlifting,110kg super heavyweight,Barcelona,1992,men
25,1,EUN,leonid taranenko,425,Weightlifting,110kg super heavyweight,Barcelona,1992,men
26,2,GER,manfred nerlinger,412.5,Weightlifting,110kg super heavyweight,Barcelona,1992,men
44,0,BUL,ivan ivanov ivanov,265,Weightlifting,52kg flyweight,Barcelona,1992,men
45,1,CHN,qisheng lin,262.5,Weightlifting,52kg flyweight,Barcelona,1992,men
46,2,ROU,traian ioachim ciharean,252.5,Weightlifting,52kg flyweight,Barcelona,1992,men
61,0,TUR,naim süleymanoğlu,320,Weightlifting,56 - 60kg (featherweight),Barcelona,1992,men
62,1,BUL,nikolay pechalov,305,Weightlifting,56 - 60kg (featherweight),Barcelona,1992,men
63,2,CHN,ying-qiang he,295,Weightlifting,56 - 60kg (featherweight),Barcelona,1992,men
92,0,KOR,byeong-gwan jeon,287.5,Weightlifting,56kg bantamweight,Barcelona,1992,men
93,1,CHN,shoubin liu,277.5,Weightlifting,56kg bantamweight,Barcelona,1992,men
94,2,CHN,jianming luo,277.5,Weightlifting,56kg bantamweight,Barcelona,1992,men
114,0,EUN,israel militosian,337.5,Weightlifting,60-67.5kg lightweight,Barcelona,1992,men
115,1,BUL,yoto vassilev yotov,327.5,Weightlifting,60-67.5kg lightweight,Barcelona,1992,men
116,2,GER,andreas behm,320,Weightlifting,60-67.5kg lightweight,Barcelona,1992,men
132,0,EUN,tudor casapu,357.5,Weightlifting,67.5-75kg middleweight,Barcelona,1992,men
133,1,CUB,pablo lara,357.5,Weightlifting,67.5-75kg middleweight,Barcelona,1992,men
134,2,PRK,myong nam kim,352.5,Weightlifting,67.5-75kg middleweight,Barcelona,1992,men
166,0,GRE,pyrros dimas,370,Weightlifting,75  825kg lightheavyweight,Barcelona,1992,men
167,1,POL,krzysztof siemion,370,Weightlifting,75  825kg lightheavyweight,Barcelona,1992,men
168,2,PRK,chol-ho chon,365,Weightlifting,75  825kg lightheavyweight,Barcelona,1992,men
196,0,EUN,akakios kakiasvilis,412.5,Weightlifting,82.5 - 90kg (middle-heavyweight),Barcelona,1992,men
197,1,EUN,serguei syrtsov,412.5,Weightlifting,82.5 - 90kg (middle-heavyweight),Barcelona,1992,men
198,2,POL,sergiusz wolczaniecki,392.5,Weightlifting,82.5 - 90kg (middle-heavyweight),Barcelona,1992,men
219,0,EUN,viktor tregubov,410,Weightlifting,90  100kg firstheavyweight,Barcelona,1992,men
220,1,EUN,timour taimazov,402.5,Weightlifting,90  100kg firstheavyweight,Barcelona,1992,men
221,2,POL,waldemar malak,400,Weightlifting,90  100kg firstheavyweight,Barcelona,1992,men
0,0,ETH,kenenisa bekele,00:27:01.170,Athletics,10000m,Beijing,2008,men
1,1,ETH,sileshi sihine,00:27:02.770,Athletics,10000m,Beijing,2008,men
2,2,KEN,micah kipkemboi kogo,00:27:04.110,Athletics,10000m,Beijing,2008,men
39,0,ETH,tirunesh dibaba,00:29:54.660,Athletics,10000m,Beijing,2008,women
40,1,USA,shalane flanagan,00:30:22.220,Athletics,10000m,Beijing,2008,women
41,2,KEN,linet chepkwemoi masai,00:30:26.500,Athletics,10000m,Beijing,2008,women
71,0,USA,dawn harper,12.540,Athletics,100m hurdles,Beijing,2008,women
72,1,AUS,sally pearson,12.640,Athletics,100m hurdles,Beijing,2008,women
73,2,CAN,priscilla lopes-schliep,12.640,Athletics,100m hurdles,Beijing,2008,women
83,0,JAM,usain bolt,09.690,Athletics,100m,Beijing,2008,men
84,1,TTO,richard thompson,09.890,Athletics,100m,Beijing,2008,men
85,2,USA,walter dix,09.910,Athletics,100m,Beijing,2008,men
92,0,JAM,shelly-ann fraser-pryce,10.780,Athletics,100m,Beijing,2008,women
93,1,JAM,sherone simpson,10.980,Athletics,100m,Beijing,2008,women
94,2,JAM,kerron stewart,10.980,Athletics,100m,Beijing,2008,women
101,0,CUB,dayron robles,12.930,Athletics,110m hurdles,Beijing,2008,men
102,1,USA,david payne,13.170,Athletics,110m hurdles,Beijing,2008,men
103,2,USA,david oliver,13.180,Athletics,110m hurdles,Beijing,2008,men
113,0,KEN,asbel kiprop,00:03:33.110,Athletics,1500m,Beijing,2008,men
114,1,NZL,nick willis,00:03:34.160,Athletics,1500m,Beijing,2008,men
115,2,FRA,mehdi baala,00:03:34.210,Athletics,1500m,Beijing,2008,men
127,0,KEN,nancy jebet langat,00:04:00.230,Athletics,1500m,Beijing,2008,women
128,1,UKR,iryna lishchynska,00:04:01.630,Athletics,1500m,Beijing,2008,women
129,2,UKR,nataliya tobias,00:04:01.780,Athletics,1500m,Beijing,2008,women
139,0,JAM,usain bolt,19.300,Athletics,200m,Beijing,2008,men
140,1,USA,shawn crawford,19.960,Athletics,200m,Beijing,2008,men
141,2,USA,walter dix,19.980,Athletics,200m,Beijing,2008,men
152,0,JAM,veronica campbell-brown,21.740,Athletics,200m,Beijing,2008,women
153,1,USA,allyson felix,21.930,Athletics,200m,Beijing,2008,women
154,2,JAM,kerron stewart,22.000,Athletics,200m,Beijing,2008,women
163,0,RUS,olga kaniskina,01:26:31.000,Athletics,20km race walk,Beijing,2008,women
164,1,NOR,kjersti platzer,01:27:07.000,Athletics,20km race walk,Beijing,2008,women
165,2,ITA,elisa rigaudo,01:27:12.000,Athletics,20km race walk,Beijing,2008,women
211,0,RUS,valeriy borchin,01:19:01.000,Athletics,20km walk,Beijing,2008,men
212,1,ECU,jefferson perez,01:19:15.000,Athletics,20km walk,Beijing,2008,men
213,2,AUS,jared tallent,01:19:42.000,Athletics,20km walk,Beijing,2008,men
262,0,KEN,brimin kiprop kipruto,00:08:10.340,Athletics,3000m steeplechase,Beijing,2008,men
263,1,FRA,mahiedine mekhissi,00:08:10.490,Athletics,3000m steeplechase,Beijing,2008,men
264,2,KEN,richard kipkemboi mateelong,00:08:11.010,Athletics,3000m steeplechase,Beijing,2008,men
279,0,RUS,gulnara galkina-samitova,00:08:58.810,Athletics,3000m steeplechase,Beijing,2008,women
280,1,KEN,eunice jepkorir,00:09:07.410,Athletics,3000m steeplechase,Beijing,2008,women
281,2,RUS,tatyana arkhipova,00:09:12.330,Athletics,3000m steeplechase,Beijing,2008,women
298,0,USA,angelo taylor,47.250,Athletics,400m hurdles,Beijing,2008,men
299,1,USA,kerron clement,47.980,Athletics,400m hurdles,Beijing,2008,men
300,2,USA,bershawn jackson,48.060,Athletics,400m hurdles,Beijing,2008,men
307,0,JAM,melaine walker,52.640,Athletics,400m hurdles,Beijing,2008,women
308,1,USA,sheena tosta,53.700,Athletics,400m hurdles,Beijing,2008,women
309,2,GBR,tasha danvers,53.840,Athletics,400m hurdles,Beijing,2008,women
315,0,USA,lashawn merritt,43.750,Athletics,400m,Beijing,2008,men
316,1,USA,jeremy wariner,44.740,Athletics,400m,Beijing,2008,men
317,2,USA,david neville,44.800,Athletics,400m,Beijing,2008,men
325,0,GBR,christine ohuruogu,49.620,Athletics,400m,Beijing,2008,women
326,1,JAM,shericka williams,49.690,Athletics,400m,Beijing,2008,women
327,2,USA,sanya richards-ross,49.930,Athletics,400m,Beijing,2008,women
334,0,,,38.060,Athletics,4x100m relay,Beijing,2008,men
335,1,,,38.150,Athletics,4x100m relay,Beijing,2008,men
336,2,,,38.240,Athletics,4x100m relay,Beijing,2008,men
348,0,,,42.540,Athletics,4x100m relay,Beijing,2008,women
349,1,,,43.040,Athletics,4x100m relay,Beijing,2008,women
350,2,,,43.140,Athletics,4x100m relay,Beijing,2008,women
361,0,,,00:02:55.390,Athletics,4x400m relay,Beijing,2008,men
362,1,,,00:02:58.030,Athletics,4x400m relay,Beijing,2008,men
363,2,,,00:02:58.810,Athletics,4x400m relay,Beijing,2008,men
370,0,,,00:03:18.540,Athletics,4x400m relay,Beijing,2008,women
371,1,,,00:03:20.400,Athletics,4x400m relay,Beijing,2008,women
372,2,,,00:03:22.680,Athletics,4x400m relay,Beijing,2008,women
378,0,ETH,kenenisa bekele,00:12:57.820,Athletics,5000m,Beijing,2008,men
379,1,KEN,eliud kipchoge,00:13:02.800,Athletics,5000m,Beijing,2008,men
380,2,KEN,edwin cheruiyot soi,00:13:06.220,Athletics,5000m,Beijing,2008,men
397,0,ETH,tirunesh dibaba,00:15:41.400,Athletics,5000m,Beijing,2008,women
398,1,ETH,meseret defar,00:15:44.120,Athletics,5000m,Beijing,2008,women
399,2,KEN,sylvia jebiwott kibet,00:15:44.960,Athletics,5000m,Beijing,2008,women
414,0,ITA,alex schwazer,03:37:09.000,Athletics,50km walk,Beijing,2008,men
415,1,AUS,jared tallent,03:39:27.000,Athletics,50km walk,Beijing,2008,men
416,2,RUS,denis nizhegorodov,03:40:14.000,Athletics,50km walk,Beijing,2008,men
475,0,KEN,wilfred bungei,00:01:44.650,Athletics,800m,Beijing,2008,men
476,1,SUD,ismail ahmed ismail,00:01:44.700,Athletics,800m,Beijing,2008,men
477,2,KEN,alfred kirwa yego,00:01:44.820,Athletics,800m,Beijing,2008,men
486,0,KEN,pamela jelimo,00:01:54.870,Athletics,800m,Beijing,2008,women
487,1,KEN,janeth jepkosgei busienei,00:01:56.070,Athletics,800m,Beijing,2008,women
488,2,MAR,hasna benhassi,00:01:56.730,Athletics,800m,Beijing,2008,women
499,0,USA,bryan clay,8791,Athletics,decathlon,Beijing,2008,men
500,1,BLR,andrei krauchanka,8551,Athletics,decathlon,Beijing,2008,men
501,2,CUB,leonel suarez,8527,Athletics,decathlon,Beijing,2008,men
539,0,EST,gerd kanter,68.82,Athletics,discus throw,Beijing,2008,men
540,1,POL,piotr malachowski,67.82,Athletics,discus throw,Beijing,2008,men
541,2,LTU,virgilijus alekna,67.79,Athletics,discus throw,Beijing,2008,men
551,0,USA,stephanie brown,64.74,Athletics,discus throw,Beijing,2008,women
552,1,UKR,olena antonova,62.59,Athletics,discus throw,Beijing,2008,women
553,2,CHN,aimin song,62.2,Athletics,discus throw,Beijing,2008,women
564,0,SLO,primoz kozmus,82.02,Athletics,hammer throw,Beijing,2008,men
565,1,BLR,vadim devyatovskiy,81.61,Athletics,hammer throw,Beijing,2008,men
566,2,BLR,ivan tikhon,81.51,Athletics,hammer throw,Beijing,2008,men
579,0,CUB,yipsi moreno,75.2,Athletics,hammer throw,Beijing,2008,women
580,1,CHN,wenxiu zhang,74.32,Athletics,hammer throw,Beijing,2008,women
581,2,FRA,manuela montebrun,72.54,Athletics,hammer throw,Beijing,2008,women
594,0,UKR,natallia dobrynska,6733,Athletics,heptathlon,Beijing,2008,women
595,1,USA,hyleas fountain,6619,Athletics,heptathlon,Beijing,2008,women
596,2,GBR,kelly sotherton,6517,Athletics,heptathlon,Beijing,2008,women
637,0,RUS,andrey silnov,2.36,Athletics,high jump,Beijing,2008,men
638,1,GBR,germaine mason,2.34,Athletics,high jump,Beijing,2008,men
639,2,RUS,yaroslav rybakov,2.34,Athletics,high jump,Beijing,2008,men
650,0,BEL,tia hellebaut,2.05,Athletics,high jump,Beijing,2008,women
651,1,CRO,blanka vlasic,2.05,Athletics,high jump,Beijing,2008,women
652,2,USA,chaunte howard,1.99,Athletics,high jump,Beijing,2008,women
667,0,NOR,andreas thorkildsen,90.57,Athletics,javelin throw,Beijing,2008,men
668,1,LAT,ainars kovals,86.64,Athletics,javelin throw,Beijing,2008,men
669,2,FIN,tero pitkamaki,86.16,Athletics,javelin throw,Beijing,2008,men
680,0,CZE,barbora spotakova,71.42,Athletics,javelin throw,Beijing,2008,women
681,1,GER,christina obergfoll,66.13,Athletics,javelin throw,Beijing,2008,women
682,2,GBR,goldie sayers,65.75,Athletics,javelin throw,Beijing,2008,women
694,0,PAN,irving saladino,8.34,Athletics,long jump,Beijing,2008,men
695,1,RSA,godfrey khotso mokoena,8.24,Athletics,long jump,Beijing,2008,men
696,2,CUB,ibrahim camejo,8.2,Athletics,long jump,Beijing,2008,men
710,0,BRA,maurren maggi,7.04,Athletics,long jump,Beijing,2008,women
711,1,NGR,blessing okagbare,6.91,Athletics,long jump,Beijing,2008,women
712,2,JAM,chelsea hammond,6.79,Athletics,long jump,Beijing,2008,women
727,0,KEN,samuel wanjiru,02:06:32.000,Athletics,marathon,Beijing,2008,men
728,1,MAR,jaouad gharib,02:07:16.000,Athletics,marathon,Beijing,2008,men
729,2,ETH,tsegay kebede,02:10:00.000,Athletics,marathon,Beijing,2008,men
825,0,ROU,constantina tomescu,02:26:44.000,Athletics,marathon,Beijing,2008,women
826,1,KEN,catherine ndereba,02:27:06.000,Athletics,marathon,Beijing,2008,women
827,2,CHN,chunxiu zhou,02:27:07.000,Athletics,marathon,Beijing,2008,women
907,0,AUS,steve hooker,5.96,Athletics,pole vault,Beijing,2008,men
908,1,RUS,evgeniy lukyanenko,5.85,Athletics,pole vault,Beijing,2008,men
909,2,USA,derek miles,5.7,Athletics,pole vault,Beijing,2008,men
926,0,RUS,yelena isinbaeva,5.05,Athletics,pole vault,Beijing,2008,women
927,1,USA,jenn stuczynski-suhr,4.8,Athletics,pole vault,Beijing,2008,women
928,2,RUS,svetlana feofanova,4.75,Athletics,pole vault,Beijing,2008,women
940,0,POL,tomasz majewski,21.51,Athletics,shot put,Beijing,2008,men
941,1,USA,christian cantwell,21.09,Athletics,shot put,Beijing,2008,men
942,2,CAN,dylan armstrong,21.04,Athletics,shot put,Beijing,2008,men
957,0,NZL,valerie adams,20.56,Athletics,shot put,Beijing,2008,women
958,1,CUB,misleydis gonzalez,19.5,Athletics,shot put,Beijing,2008,women
959,2,CHN,lijiao gong,19.2,Athletics,shot put,Beijing,2008,women
974,0,POR,nelson evora,17.67,Athletics,triple jump,Beijing,2008,men
975,1,GBR,phillips idowu,17.62,Athletics,triple jump,Beijing,2008,men
976,2,BAH,leevan sands,17.59,Athletics,triple jump,Beijing,2008,men
988,0,CMR,françoise mbango etone,15.39,Athletics,triple jump,Beijing,2008,women
989,1,KAZ,olga rypakova,15.11,Athletics,triple jump,Beijing,2008,women
990,2,CUB,yargeris savigne,15.05,Athletics,triple jump,Beijing,2008,women
0,0,NED,maarten van der weijden,01:51:51.600,Marathon Swimming,marathon - 10 km,Beijing,2008,men
1,1,GBR,david davies,01:51:53.100,Marathon Swimming,marathon - 10 km,Beijing,2008,men
2,2,GER,thomas lurz,01:51:53.600,Marathon Swimming,marathon - 10 km,Beijing,2008,men
25,0,RUS,larisa ilchenko,01:59:27.700,Marathon Swimming,marathon 10km,Beijing,2008,women
26,1,GBR,keri-anne payne,01:59:29.200,Marathon Swimming,marathon 10km,Beijing,2008,women
27,2,GBR,cassandra patten,01:59:31.000,Marathon Swimming,marathon 10km,Beijing,2008,women
1156,0,BRA,cesar cielo filho,21.300,Swimming,50m freestyle,Beijing,2008,men
1157,1,FRA,amaury leveaux,21.450,Swimming,50m freestyle,Beijing,2008,men
1158,2,FRA,alain bernard,21.490,Swimming,50m freestyle,Beijing,2008,men
1253,0,GER,britta steffen,24.060,Swimming,50m freestyle,Beijing,2008,women
1254,1,USA,dara torres,24.070,Swimming,50m freestyle,Beijing,2008,women
1255,2,AUS,cate campbell,24.170,Swimming,50m freestyle,Beijing,2008,women
0,0,KOR,mi-ran jang,326,Weightlifting,+75kg,Beijing,2008,women
1,1,SAM,ele opeloge,269,Weightlifting,+75kg,Beijing,2008,women
2,2,NGR,maryam usman,265,Weightlifting,+75kg,Beijing,2008,women
11,0,BLR,andrei aramnau,436,Weightlifting,105kg heavyweight,Beijing,2008,men
12,1,RUS,dmitriy klokov,423,Weightlifting,105kg heavyweight,Beijing,2008,men
13,2,POL,marcin dolega,420,Weightlifting,105kg heavyweight,Beijing,2008,men
30,0,GER,matthias steiner,461,Weightlifting,105kg superheavyweight,Beijing,2008,men
31,1,RUS,evgeny chigishev,460,Weightlifting,105kg superheavyweight,Beijing,2008,men
32,2,LAT,viktors scerbatihs,448,Weightlifting,105kg superheavyweight,Beijing,2008,men
44,0,TPE,wei-ling chen,196,Weightlifting,48kg,Beijing,2008,women
45,1,KOR,jeong-hwa im,196,Weightlifting,48kg,Beijing,2008,women
46,2,THA,pensiri laosirikul,195,Weightlifting,48kg,Beijing,2008,women
58,0,THA,prapawadee jaroenrattanatarakoon,221,Weightlifting,53kg,Beijing,2008,women
59,1,KOR,jinhee yoon,213,Weightlifting,53kg,Beijing,2008,women
60,2,INA,raema lisa rumbewas,206,Weightlifting,53kg,Beijing,2008,women
67,0,CHN,qingquan long,292,Weightlifting,56kg bantamweight,Beijing,2008,men
68,1,VIE,anh tuan hoang,290,Weightlifting,56kg bantamweight,Beijing,2008,men
69,2,INA,eko yuli irawan,288,Weightlifting,56kg bantamweight,Beijing,2008,men
86,0,CHN,yanqing chen,244,Weightlifting,58kg,Beijing,2008,women
87,1,PRK,jong ae o,226,Weightlifting,58kg,Beijing,2008,women
88,2,THA,wandee kameaim,226,Weightlifting,58kg,Beijing,2008,women
98,0,CHN,xiangxiang zhang,319,Weightlifting,62kg featherweight,Beijing,2008,men
99,1,COL,diego fernando salazar,305,Weightlifting,62kg featherweight,Beijing,2008,men
100,2,INA,triyatno ,298,Weightlifting,62kg featherweight,Beijing,2008,men
115,0,PRK,hyon suk pak,241,Weightlifting,63kg,Beijing,2008,women
116,1,TPE,ying-chi lu,231,Weightlifting,63kg,Beijing,2008,women
117,2,CAN,christine girard,228,Weightlifting,63kg,Beijing,2008,women
135,0,CHN,hui liao,348,Weightlifting,69kg,Beijing,2008,men
136,1,FRA,vencelas dabaya tientcheu,338,Weightlifting,69kg,Beijing,2008,men
137,2,CUB,yordanis borrero,328,Weightlifting,69kg,Beijing,2008,men
165,0,RUS,oxana slivenko,255,Weightlifting,69kg,Beijing,2008,women
166,1,COL,leidy yessenia solis arboleda,240,Weightlifting,69kg,Beijing,2008,women
167,2,EGY,abir khalil,238,Weightlifting,69kg,Beijing,2008,women
175,0,KOR,jaehyouk sa,366,Weightlifting,77kg,Beijing,2008,men
176,1,CHN,hongli li,366,Weightlifting,77kg,Beijing,2008,men
177,2,ARM,gevorg davtyan,360,Weightlifting,77kg,Beijing,2008,men
203,0,CHN,yong lu,394,Weightlifting,85kg,Beijing,2008,men
204,1,ARM,tigran varban martirosyan,380,Weightlifting,85kg,Beijing,2008,men
205,2,CUB,jadier valladares,372,Weightlifting,85kg,Beijing,2008,men
224,0,POL,szymon kolecki,403,Weightlifting,94kg,Beijing,2008,men
225,1,GEO,arsen kasabijew,399,Weightlifting,94kg,Beijing,2008,men
226,2,CUB,yohandrys hernandez,393,Weightlifting,94kg,Beijing,2008,men
0,0,FIN,ilmari salminen,00:30:15.400,Athletics,10000m,Berlin,1936,men
1,1,FIN,arvo askola,00:30:15.600,Athletics,10000m,Berlin,1936,men
2,2,FIN,volmari iso-hollo,00:30:20.200,Athletics,10000m,Berlin,1936,men
41,0,USA,jesse owens,10.3w,Athletics,100m,Berlin,1936,men
42,1,USA,ralph metcalfe,10.4w,Athletics,100m,Berlin,1936,men
43,2,NED,martinus osendarp,10.5w,Athletics,100m,Berlin,1936,men
53,0,USA,helen herring stephens,11.5w,Athletics,100m,Berlin,1936,women
54,1,POL,stanislawa walasiewicz,11.7w,Athletics,100m,Berlin,1936,women
55,2,GER,käthe krauss,11.9w,Athletics,100m,Berlin,1936,women
60,0,USA,forrest grady towns,14.200,Athletics,110m hurdles,Berlin,1936,men
61,1,GBR,donald finlay,14.400,Athletics,110m hurdles,Berlin,1936,men
62,2,USA,frederick douglas jr. pollard,14.400,Athletics,110m hurdles,Berlin,1936,men
71,0,NZL,john lovelock,00:03:47.800,Athletics,1500m,Berlin,1936,men
72,1,USA,glenn cunningham,00:03:48.400,Athletics,1500m,Berlin,1936,men
